Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
13574594,Ignorance: How it drives science,Stuart Firestein,"Firestein, Stuart",,"=""0199828075""","=""9780199828074""",4,3.87,"Oxford University Press, USA",Hardcover,208,2012,2012,2015/12/01,2016/01/25,,,read,,,,1,0
385,On Bullshit,Harry G. Frankfurt,"Frankfurt, Harry G.",,"=""0691122946""","=""9780691122946""",1,3.59,Princeton University Press,Hardcover,74,2005,1986,2016/02/15,2016/01/30,,,read,,,,1,0
61535,The Selfish Gene,Richard Dawkins,"Dawkins, Richard",,"=""0199291152""","=""9780199291151""",2,4.15,Oxford University Press,Paperback,360,2006,1976,2016/03/15,2016/03/23,,,read,,,,1,0
3860977,How We Decide,Jonah Lehrer,"Lehrer, Jonah",,"=""0618620117""","=""9780618620111""",2,3.84,Houghton Mifflin Company,Hardcover,259,2009,2009,2016/02/17,2016/02/05,,,read,,,,1,0
128029,A Thousand Splendid Suns,Khaled Hosseini,"Hosseini, Khaled",,"=""1594489505""","=""9781594489501""",5,4.42,Riverhead Books,Hardcover,372,2007,2007,2016/01/30,2016/01/23,,,read,,,,1,0
24488476,"The Fate of Ten (Lorien Legacies, #6)",Pittacus Lore,"Lore, Pittacus",,"=""""","=""""",5,4.30,HarperCollins,Kindle Edition,409,2015,2015,2016/01/26,2016/01/25,,,read,,,,1,0
5548,What Do You Care What Other People Think?,Richard P. Feynman,"Feynman, Richard P.",Ralph Leighton,"=""0393320928""","=""9780393320923""",0,4.18,W.W. Norton & Company,Paperback,256,2001,1988,,2016/01/25,to-read,to-read (#5),to-read,,,,0,0
32276,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,"Sagan, Carl",,"=""0345346297""","=""9780345346292""",0,4.19,Random House USA,Paperback,271,1986,1977,,2016/01/25,to-read,to-read (#4),to-read,,,,0,0
26072623,"I Am Number Four Collection: Books 1-6: I Am Number Four, The Power of Six, The Rise of Nine, The Fall of Five, The Revenge of Seven, The Fate of Ten",Pittacus Lore,"Lore, Pittacus",,"=""0062457365""","=""9780062457363""",3,4.55,HarperCollins,ebook,2560,2015,2015,,2016/01/25,,,read,,,,1,0
12879389,Cavernas y palacios: en busca de la conciencia en el cerebro,Diego Golombek,"Golombek, Diego",,"=""9876291939""","=""9789876291934""",4,3.85,Siglo Veintiuno Editores,Mass Market Paperback,214,2011,2008,,2016/01/24,,,read,,,,1,0
