X,Y,Orientation,MinorAxis,MajorAxis
424.2625,164.2349,0.238036559299767,39.8127704700572,172.965783677139
424.1355,165.0368,0.257859280503352,40.5487623031078,173.399511704937
424.7977,166.1799,0.288779426236474,41.069865252667,174.791727177706
425.0226,167.1947,0.313441466821328,41.0359769928868,175.238132577365
424.903,168.229,0.332509088820424,41.2513099148728,174.213334141906
424.4824,169.2006,0.353497582157729,41.7724350895923,171.020703141226
424.3013,170.5885,0.378032195718672,42.5128798281988,168.285102099531
422.4088,171.3043,0.391585015181735,42.4695955262982,161.208387126511
420.334,171.8429,0.399008241929963,43.4464256005017,152.853582527166
418.6056,172.3233,0.40574694021751,44.2660663795808,147.33080509917
419.8428,174.4822,0.418022688278806,44.3153850568214,149.947755882438
426.2343,179.0828,0.431835931498186,42.8918273316071,162.328195278245
432.0698,182.4384,0.436056924062863,42.7064328447836,165.98177763452
