"diputado_id","diputado_apellido","diputado_nombre","diputado_genero","diputado_distrito","mandato_inicio","mandato_fin","diputado_juramento","diputado_cese","diputado_bloque","bloque_inicio","bloque_fin"
"HCDN1448","WOLFF","WALDO EZEQUIEL","M","BUENOS AIRES",2015-12-10,2019-12-09,2015-12-04,2019-12-09,"PRO",2017-12-10,2019-12-09
"HCDN1321","YAGÜE","LINDA CRISTINA","F","NEUQUEN",2009-12-10,2013-12-09,2011-11-30,2013-12-09,"UCR",2011-11-30,2013-12-09
"HCDN1220","YARADE","FERNANDO","M","SALTA",2009-12-10,2013-12-09,2009-12-03,2013-12-09,"FRENTE PARA LA VICTORIA - PJ",2009-12-10,2013-12-09
"HCDN2429","YASKY","HUGO","M","BUENOS AIRES",2017-12-10,2021-12-09,2017-12-06,2021-12-09,"FRENTE PARA LA VICTORIA - PJ",2017-12-10,2021-12-09
"HCDN1323","YAZBEK","RUBEN DAVID","M","CATAMARCA",2009-12-10,2013-12-09,2011-12-06,2013-12-09,"FRENTE PARA LA VICTORIA - PJ",2011-12-10,2013-12-09
"HCDN2431","YEDLIN","PABLO RAUL","M","TUCUMAN",2017-12-10,2021-12-09,2017-12-06,2021-12-09,"JUSTICIALISTA POR TUCUMAN",2017-12-10,2021-12-09
"HCDN0313","YOMA","JORGE RAUL","M","LA RIOJA",2009-12-10,2013-12-09,2009-12-03,2013-12-09,"FRENTE PARA LA VICTORIA - PJ",2009-12-10,2013-10-07
"HCDN0313","YOMA","JORGE RAUL","M","LA RIOJA",2009-12-10,2013-12-09,2009-12-03,2013-12-09,"EL CHACHO",2013-10-08,2013-12-09
"HCDN1309","ZABALZA","JUAN CARLOS","M","SANTA FE",2011-12-10,2015-12-09,2011-12-06,2015-12-09,"PARTIDO SOCIALISTA",2011-12-10,2015-12-09
"HCDN2387","ZAMARBIDE","FEDERICO RAUL","M","MENDOZA",2017-12-10,2021-12-09,2017-12-06,2021-12-09,"UCR",2017-12-10,2021-12-09
"HCDN1331","ZAMARREÑO","MARIA EUGENIA","F","BUENOS AIRES",2011-12-10,2015-12-09,2012-03-14,2015-12-09,"FRENTE PARA LA VICTORIA - PJ",2012-03-14,2015-12-09
"HCDN2388","ZAMORA","CLAUDIA","F","SANTIAGO DEL ESTERO",2017-12-10,2021-12-09,2017-12-06,2021-12-09,"FRENTE CIVICO POR SANTIAGO",2017-12-10,2021-12-09
"HCDN1025","ZAVALLO","GUSTAVO MARCELO","M","ENTRE RIOS",2007-12-10,2011-12-09,2007-12-05,2011-12-09,"FRENTE PARA LA VICTORIA - PJ",2007-12-10,2009-07-27
"HCDN1025","ZAVALLO","GUSTAVO MARCELO","M","ENTRE RIOS",2007-12-10,2011-12-09,2007-12-05,2011-12-09,"PERONISMO FEDERAL",2009-07-28,2011-12-09
"HCDN1310","ZIEBART","CRISTINA ISABEL","F","CHUBUT",2011-12-10,2015-12-09,2011-12-06,2015-12-09,"FRENTE PARA LA VICTORIA - PJ",2011-12-10,2015-12-09
"HCDN1221","ZIEGLER","ALEX ROBERTO","M","MISIONES",2009-12-10,2013-12-09,2009-12-03,2013-12-09,"FRENTE PARA LA VICTORIA - PJ",2009-12-10,2013-12-09
"HCDN1221","ZIEGLER","ALEX ROBERTO","M","MISIONES",2013-12-10,2017-12-09,2013-12-04,2017-12-09,"FRENTE PARA LA VICTORIA - PJ",2013-12-10,2015-07-28
"HCDN1221","ZIEGLER","ALEX ROBERTO","M","MISIONES",2013-12-10,2017-12-09,2013-12-04,2017-12-09,"UNIPERSONAL",2015-07-29,2015-08-06
"HCDN1221","ZIEGLER","ALEX ROBERTO","M","MISIONES",2013-12-10,2017-12-09,2013-12-04,2017-12-09,"LIBERTAD Y DEMOCRACIA",2015-08-07,2016-03-08
"HCDN1221","ZIEGLER","ALEX ROBERTO","M","MISIONES",2013-12-10,2017-12-09,2013-12-04,2017-12-09,"LIBERTAD VALORES Y CAMBIO",2016-03-09,2017-12-09
"HCDN1527","ZILIOTTO","SERGIO RAUL","M","LA PAMPA",2015-12-10,2019-12-09,2015-12-04,2019-12-09,"PARTIDO JUSTICIALISTA PAMPEANO",2015-12-10,2016-02-03
"HCDN1527","ZILIOTTO","SERGIO RAUL","M","LA PAMPA",2015-12-10,2019-12-09,2015-12-04,2019-12-09,"JUSTICIALISTA",2016-02-04,2019-12-09
"HCDN0656","ZOTTOS","ANDRES","M","SALTA",2017-12-10,2021-12-09,2017-12-06,2021-12-09,"JUSTICIALISTA",2017-12-10,2021-12-09
