"senador","nro_de_orden","inicio_periodo_legal","cese_periodo_legal","inicio_periodo_real","cese_periodo_real","provincia","partido_politico","reemplazo","observaciones"
"SAN MILLAN, JULIO ARGENTINO",92,"1995-11-29","2001-12-09","1995-11-29","2001-12-09","SALTA","JUSTICIALISTA","LÓPEZ ARIAS, MARCELO EDUARDO","REELECTO."
"USANDIVARAS,  JUAN DE DIOS",3149,"1854-10-17","1857-04-30","1856-06-13","1857-04-30","SALTA","SIN ESPECIFICAR","ARIAS,  TOMAS",NA
"ARIAS,  TOMAS",3150,"1857-05-12","1866-04-30","1857-06-09","1861-12-12","SALTA","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL CONGRESO DE PARANA EL 12 DE DICIEMBRE DE 1861."
"URIBURU,  PEDRO",3153,"1862-06-15","1871-04-30","1862-06-15","1871-04-30","SALTA","SIN ESPECIFICAR","IBARGUREN,  FEDERICO",NA
"IBARGUREN,  FEDERICO",3154,"1871-07-01","1880-04-30","1871-07-01","1874-07-04","SALTA","SIN ESPECIFICAR","LINARES,  SEGUNDO.","REEMPLAZA A PEDRO URIBURU POR EXPIRACION DE MANDATO. RENUNCIA EN 1874 PARA SER  JUEZ FEDERAL DE SALTA. LO REEMPLAZA SEGUNDO LINARES."
"LINARES,  SEGUNDO.",3155,"1871-07-01","1880-04-30","1875-08-05","1880-04-30","SALTA","SIN ESPECIFICAR","ORTIZ,  FRANCISCO J.","COMPLETA EL PERIODO DE FEDERICO IBARGUREN QUE RENUNCIO."
"ORTIZ,  FRANCISCO J.",3156,"1880-05-03","1889-04-30","1880-05-03","1883-10-25","SALTA","SIN ESPECIFICAR","ORTIZ,  MIGUEL S.","REEMPLAZA A SEGUNDO LINARES POR EXPIRACION DE MANDATO. RENUNCIA EN 1883 POR SER NOMBRADO MINISTRO DE RELACIONES EXTERIORES Y CULTO DE LA NACION. LO REEMPLAZA MIGUEL ORTIZ."
"ORTIZ,  MIGUEL S.",3157,"1880-05-03","1889-04-30","1884-05-08","1889-04-30","SALTA","SIN ESPECIFICAR","GÜEMES,  MARTIN G.","COMPLETA EL PERIODO DE FRANCISCO ORTIZ. (1880/1889)"
"GÜEMES,  MARTIN G.",3158,"1889-08-27","1898-04-30","1889-08-27","1897-02-27","SALTA","SIN ESPECIFICAR","LEGUIZAMON,  DELFIN","REEMPLAZA A MIGUEL ORTIZ POR EXPIRACION DE MANDATO. FALLECE EN 1897, LO REEMPLAZA DELFIN LEGUIZAMON."
"LEGUIZAMON,  DELFIN",3159,"1889-08-27","1898-04-30","1897-05-04","1898-04-30","SALTA","SIN ESPECIFICAR","URIBURU,  FRANCISCO","COMPLETA EL PERIODO DE MARTIN GUEMES QUE FALLECE."
"URIBURU,  FRANCISCO",3160,"1898-05-17","1907-04-30","1898-05-17","1906-02-10","SALTA","SIN ESPECIFICAR","SERREY,  CARLOS","REEMPLAZA A DELFIN LEGUIZAMON POR EXPIRACION DE MANDATO. FALLECE EN 1906. LO REEMPLAZA CARLOS SERREY."
"OVEJERO,  DAVID",3161,"1907-04-30","1916-04-30","1907-04-30","1916-04-30","SALTA","SIN ESPECIFICAR","LINARES,  LUIS","REEMPLAZA A CARLOS SERREY POR EXPIRACION DE MANDATO."
"LINARES,  LUIS",3162,"1916-04-29","1925-04-30","1916-04-29","1925-04-30","SALTA","UNIÓN CÍVICA RADICAL","LINARES,  LUIS","REEMPLAZA A DAVID OVEJERO POR EXPIRACION DE MANDATO."
"LINARES,  LUIS",3162,"1925-04-28","1934-04-30","1925-04-28","1930-09-06","SALTA","UNIÓN CÍVICA RADICAL","DISOLUCION DEL P. LEGISLATIVO,","REELECTO. DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1930."
"DURAND,  ALBERTO",3163,"1946-05-22","1952-04-30","1946-05-22","1952-04-30","SALTA","SIN ESPECIFICAR","DURAND,  ALBERTO",NA
"DURAND,  ALBERTO",3163,"1952-04-25","1955-04-30","1952-04-25","1955-04-30","SALTA","SIN ESPECIFICAR","CARO,  JOSE ARMANDO","REELECTO."
"CARO,  JOSE ARMANDO",3164,"1955-05-05","1961-04-30","1955-05-05","1955-09-21","SALTA","PERONISTA","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 21 DE SEPTIEMBRE DE 1955."
"CARO,  JOSE ARMANDO",3164,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","SALTA","FREJULI","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"TRUNSKY,  SALOMON",3165,"1958-05-02","1964-04-30","1958-05-02","1962-09-06","SALTA","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962."
"MARTINEZ SARAVIA,  MIGUEL A.",3166,"1963-08-12","1969-04-30","1963-08-12","1966-06-28","SALTA","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966."
"ULLOA, ROBERTO AUGUSTO",238,"1996-07-03","2001-12-09","1996-07-03","2001-12-10","SALTA","RENOVADOR DE SALTA","GÓMEZ DIEZ, RICARDO","POR LA REFORMA CONSTITUCIONAL DEL AÑO 1994  ES ELEGIDO  TERCER SENADOR."
"MARTINEZ,  REGIS",3167,"1854-10-17","1857-04-30","1854-11-10","1857-04-30","CÓRDOBA","SIN ESPECIFICAR","FRAGUEIRO,  MARIANO","CAPITALIZACION DE PARANA Y FEDERALIZACION DE ENTRE RIOS."
"FRAGUEIRO,  MARIANO",3168,"1857-05-12","1866-04-30","1858-05-11","1858-06-11","CÓRDOBA","SIN ESPECIFICAR","CAMPILLO,  CLETO DEL","REEMPLAZA A REGIS MARTINEZ POR EXPIRACION DE MANDATO. RENUNCIA EN 1858. ES NOMBRADO GOBERNADOR DE LA PROVINCIA DE CORDOBA. LO REEMPLAZA CLETO DEL CAMPILLO. (1858/1861)."
"FRAGUEIRO,  MARIANO",3168,"1862-05-24","1865-04-30","1863-04-30","1865-04-30","CÓRDOBA","SIN ESPECIFICAR","ROMAN,  ALEJO","COMPLETA EL PERIODO DE DALMACIO VELEZ SARFIELD. (1862/1865)."
"DIAZ,  JUAN LUIS",3169,"1958-07-03","1961-04-30","1958-07-03","1961-04-30","FORMOSA","SIN ESPECIFICAR","AZAR,  MOISES",NA
"AZAR,  MOISES",3170,"1961-04-28","1970-04-30","1961-04-28","1962-09-06","FORMOSA","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","REEMPLAZA A JUAN LUIS DIAZ POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962."
"MARTINEZ,  JOSE ALBERTO",3171,"1963-08-12","1966-04-30","1963-08-12","1966-04-30","FORMOSA","U. C. R. DEL PUEBLO","VILLAGGI,  RAUL INOCENCIO",NA
"VILLAGGI,  RAUL INOCENCIO",3172,"1966-06-15","1975-04-30","1966-06-15","1966-06-28","FORMOSA","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966."
"ESPERANZA,  JOAQUIN HORACIO",3173,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","FORMOSA","JUSTICIALISTA","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"CACERES,  RUBEN OSVALDO",3174,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","FORMOSA","UNIÓN CÍVICA RADICAL","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"BRANDA, RICARDO ALBERTO",86,"1992-12-02","2001-12-09","1992-12-02","2001-12-09","FORMOSA","JUSTICIALISTA","MAYANS, JOSÉ MIGUEL ÁNGEL","REEMPLAZA A ROGELIO NIEVES POR EXPIRACION DE MANDATO."
"MAGLIETTI, ALBERTO RAMON",237,"1996-06-19","2001-12-09","1996-06-19","2001-12-09","FORMOSA","UNIÓN CÍVICA RADICAL","LESCANO, MARCELA FABIANA","POR LA REFORMA CONSTITUCIONAL DE 1994 ES ELEGIDO TERCER SENADOR."
