"senador","nro_de_orden","inicio_periodo_legal","cese_periodo_legal","inicio_periodo_real","cese_periodo_real","provincia","partido_politico","reemplazo","observaciones"
"EGUIGUREN,  ATANASIO",3374,"1938-05-02","1947-04-30","1938-05-02","1943-06-05","ENTRE RÍOS","U. C. R. ANTIPERSONALISTA","DISOLUCION DEL P. LEGISLATIVO,","REELECTO. DISOLUCION DEL PODER LEGISLATIVO EL 5 DE JUNIO DE 1943."
"BASALDUA,  JUAN CARLOS",3375,"1946-05-22","1949-04-30","1946-05-20","1949-04-30","ENTRE RÍOS","SIN ESPECIFICAR","BASALDUA,  JUAN CARLOS",NA
"BASALDUA,  JUAN CARLOS",3375,"1949-04-26","1952-04-30","1949-04-26","1952-04-30","ENTRE RÍOS","SIN ESPECIFICAR","ALBARIÑO,  RAMON AMANCIO","REELECTO."
"ALBARIÑO,  RAMON AMANCIO",3376,"1952-06-11","1958-04-30","1952-06-11","1955-09-21","ENTRE RÍOS","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 21 DE SEPTIEMBRE DE 1955."
"BERTORA,  JOSE MARIA ANTONIO",3377,"1958-03-31","1967-04-30","1958-03-31","1962-09-06","ENTRE RÍOS","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIUVO EL 6 DE SEPTIEMBRE DE 1962."
"MARTINEZ GARBINO,  LUCIO J.",3378,"1963-08-12","1972-04-30","1963-08-12","1966-06-28","ENTRE RÍOS","U. C. R. DEL PUEBLO","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966."
"D'AGOSTINO,  LUCIO ROQUE",3379,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","ENTRE RÍOS","FREJULI","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"PERETTE,  CARLOS HUMBERTO",3380,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","ENTRE RÍOS","UNIÓN CÍVICA RADICAL","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"CARRIL,  SALVADOR MARIA DEL",3385,"1862-05-24","1871-04-30","1862-05-24","1862-10-20","ENTRE RÍOS","SIN ESPECIFICAR","ELIAS,  ANGEL","RENUNCIA EN 1862 PARA SER MINISTRO DE LA SUPREMA CORTE DE JUSTICIA. LO REEMPLAZA ANGEL ELIAS. (1863/1871)."
"ELIAS,  ANGEL",3386,"1862-05-24","1871-04-30","1863-05-03","1871-04-30","ENTRE RÍOS","SIN ESPECIFICAR","BENITEZ,  APOLINARIO","COMPLETA EL PERIODO DE SALVADOR MARIA DEL CARRIL. (1862/1871)."
"BENITEZ,  APOLINARIO",3387,"1871-08-01","1880-04-30","1871-08-01","1875-05-15","ENTRE RÍOS","SIN ESPECIFICAR","ECHAGÜE,  LEONIDAS","REEMPLAZA A ANGEL ELIAS POR EXPIRACION DE MANDATO. RENUNCIA EN 1875. LO REEMPLAZA LEONIDAS ECHAGUE. (1875/1880)."
"OLMEDO,  ROLANDO",3443,"1963-08-12","1972-04-30","1963-08-12","1966-06-28","MISIONES","U. C. R. INTRANSIGENTE","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966."
"ALASINO, AUGUSTO",84,"1992-12-02","2001-12-09","1992-12-02","2001-12-09","ENTRE RÍOS","JUSTICIALISTA","BUSTI, JORGE PEDRO","REEMPLAZA A LUIS BRASESCO POR EXPIRACION DE MANDATO."
"LOPEZ, ALCIDES HUMBERTO",216,"1995-11-29","2001-12-09","1995-11-29","2001-12-09","ENTRE RÍOS","UNIÓN CÍVICA RADICAL","TAFFAREL, RICARDO CÉSAR","POR LA REFORMA DE LA CONSTITUCION NACIONAL DE 1994 ES ELEGIDO  TERCER SENADOR."
"AVALOS,  PEDRO ISAAC",3444,"1973-05-03","1977-03-30","1973-05-03","1976-03-24","MISIONES","FREJULI","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976. PERTENECE AL PARTIDO JUSTICIALISTA QUE ES PARTE DEL FREJULI."
"MOREIRA,  MIGUEL ORLANDO",3445,"1973-05-03","1977-04-30","1973-05-03","1976-03-24","MISIONES","FREJULI","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"IBARRA,  ABSALON",3624,"1868-07-11","1877-04-30","1868-07-11","1872-04-16","SANTIAGO DEL ESTERO","SIN ESPECIFICAR","GOROSTIAGA,  LUCIANO","RENUNCIA EN1872. LO REEMPLAZA LUCIANO GOROSTIAGA."
"GOROSTIAGA,  LUCIANO",3625,"1868-07-11","1877-04-30","1872-06-13","1877-04-30","SANTIAGO DEL ESTERO","SIN ESPECIFICAR","SANTILLAN,  GREGORIO","COMPLETA EL PERIODO DE ABSALON IBARRA."
"VILLAFAÑE, BENJAMIN",3584,"1862-05-24","1865-04-30","1863-05-16","1865-04-30","TUCUMÁN","SIN ESPECIFICAR","FRIAS, ULADISLAO","COMPLETA EL PERIODO DE MARCOS PAZ. (1862/1865)."
"VILLAFAÑE, BENJAMIN",3584,"1865-04-28","1874-04-30","1870-05-17","1874-04-30","TUCUMÁN","SIN ESPECIFICAR","AVELLANEDA, NICOLAS","COMPLETA EL PERIODO DE VLADISLAO FRIAS. (1865/1874)."
"ALMIRON, CARLOS HUMBERTO",206,"1995-11-29","2001-12-09","1995-11-29","1999-12-16","TUCUMÁN","FUERZA REPUBLICANA","VACANTE POR FALLECIMIENTO,","POR LA REFORMA CONSTITUCIONAL DE 1994 ES ELEGIDO TERCER SENADOR. FALLECE EL 16 DE DICIEMBRE DE 1999."
"SNOPEK, CARLOS",71,"1966-04-26","1975-04-30","1966-04-26","1966-06-28","JUJUY","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966. REEMPLAZA A GUILLERMO SNOPEK ( 1963/1966 ) POR EXPIRACION DE MANDATO."
"ROSTAN, NESTOR DANIEL",258,"1995-11-29","2001-12-09","1999-12-15","2001-12-09","LA PAMPA","UNIÓN CÍVICA RADICAL","PASSO, JUAN CARLOS","REEMPLAZA AL SENADOR BERHONGARAY POR RENUNCIA DEL MISMO."
"CARBONELL, JOSE FERNANDO FRANCISCO",256,"1992-12-09","2001-12-09","1999-10-27","2001-12-09","TUCUMÁN","JUSTICIALISTA","ALPEROVICH, JOSÉ JORGE","REEMPLAZA A JULIO MIRANDA QUE RENUNCIA PARA SER GOBERNADOR DE LA PROVINCIA DE TUCUMAN."
"MOLINARI ROMERO, LUIS ARTURO R.",247,"1998-11-25","2001-12-09","1998-11-25","2001-12-09","CÓRDOBA","UNIÓN CÍVICA RADICAL","MAQUEDA, JUAN CARLOS","REEMPLAZA A CONRADO STORANI POR EXPIRACION DE MANDATO."
"BARCENA,  JOSE BENITO",3230,"1862-05-24","1868-04-30","1863-06-02","1868-04-30","JUJUY","SIN ESPECIFICAR","ARAOZ,  DANIEL",NA
"SNOPEK, CARLOS",71,"1989-12-10","1998-12-09","1989-12-13","1991-06-09","JUJUY","JUSTICIALISTA","SNOPEK, GUILLERMO EUGENIO","REEMPLAZA A ANNUAR JORGE POR EXPIRACION DE MANDATO. FALLECE EN 1992. LO REEMPLAZA GUILLERMO EUGENIO SNOPEK."
"SNOPEK, GUILLERMO EUGENIO",83,"1992-10-13","1998-12-10","1992-10-13","1996-02-23","JUJUY","JUSTICIALISTA","TELL, ALBERTO MAXIMO","COMPLETA EL PERIODO DE CARLOS SNOPEK QUE FALLECIO. RENUNCIA EN 1996. LO REEMPLAZA MAXIMO TELL."
"SALUM, HUMBERTO ELIAS",227,"1995-11-29","2001-12-09","1995-11-29","2001-12-09","JUJUY","UNIÓN CÍVICA RADICAL","JENEFES, GUILLERMO RAÚL","POR LA REFORMA CONSTITUCIONAL DE 1994 ES ELEGIDO TERCER SENADOR."
"DI PIETRO, ARTURO ROLANDO",260,"1995-12-13","2001-12-09","1999-12-11","2000-12-24","SANTA FE","JUSTICIALISTA","FUNES, CARLOS DELCIO","REEMPLAZA A CARLOS ALBERTO REUTEMANN. FALLECE EL 24 DE DICIEMBRE DE 2000. LO REEMPLAZA CARLOS FUNES."
"VILLARROEL, PEDRO GUILLERMO",96,"1992-12-09","2001-12-09","1993-05-19","2001-12-09","CATAMARCA","FRENTE CÍVICO Y SOCIAL DE CATAMARCA","COLOMBO de ACEVEDO, MARÍA TERESITA DEL VALLE","REEMPLAZA A JULIO AMODEO POR EXPIRACION DE MANDATO."
"SAADI, VICENTE LEONIDAS",68,"1946-05-22","1955-04-30","1946-05-22","1949-06-20","CATAMARCA","PERONISTA","SANCHEZ RECALDE,  LUIS NICOLAS AUGUSTO","RENUNCIA EL 20 DE JUNIO DE 1949 PARA SER GOBERNADOR DE LA PROVINCIA DE CATAMARCA. LO REEMPLAZA LUIS SANCHEZ RECALDE."
"LAFFERRIERE, RICARDO EMILIO",18,"1983-11-29","1986-12-09","1983-11-29","1986-12-09","ENTRE RÍOS","UNIÓN CÍVICA RADICAL","LAFFERRIERE, RICARDO EMILIO",NA
"LAFFERRIERE, RICARDO EMILIO",18,"1986-11-28","1995-12-09","1986-11-28","1995-12-09","ENTRE RÍOS","UNIÓN CÍVICA RADICAL","MAYA, HECTOR MARIA","REELECTO."
"MAYA, HECTOR MARIA",218,"1995-11-29","2001-12-09","1995-11-29","2001-12-09","ENTRE RÍOS","JUSTICIALISTA","BAR, GRACIELA YOLANDA","REEMPLAZA A LAFERRIERE POR EXPIRACION DE MANDATO."
"SAADI, VICENTE LEONIDAS",68,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","CATAMARCA","FREJULI","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"SAADI, VICENTE LEONIDAS",68,"1983-11-29","1986-12-09","1983-11-29","1986-12-09","CATAMARCA","JUSTICIALISTA","SAADI, VICENTE LEONIDAS",NA
"SAADI, VICENTE LEONIDAS",68,"1986-11-28","1995-12-09","1986-11-28","1987-12-10","CATAMARCA","JUSTICIALISTA","SAADI, RAMÓN EDUARDO","REELECTO. RENUNCIA EN 1987. LO REEMPLAZA RAMON SAADI."
"CORACH, CARLOS VLADIMIRO",259,"1999-12-15","2001-12-09","1999-12-15","2001-12-09","CIUDAD AUTÓNOMA de BUENOS AIRES","JUSTICIALISTA","TERRAGNO, RODOLFO","REEMPLAZA A MARIO O'DONELL POR EXPIRACION DE MANDATO."
"RODRIGUEZ, MANUEL AUGUSTO",261,"1998-12-09","2001-12-09","1999-12-22","2001-12-09","FORMOSA","JUSTICIALISTA","PAZ, ELVA AZUCENA","REEMPLAZA A ANA PEÑA DE LOPEZ POR EXPIRACION DE MANDATO."
"GALAN,  JOSE MIGUEL",3381,"1854-10-17","1863-04-30","1854-10-17","1854-11-30","ENTRE RÍOS","SIN ESPECIFICAR","GARCIA,  BALDOMERO","RENUNCIA EN 1854 PARA SER NOMBRADO MINISTRO DE GUERRA Y MARINA DE LA NACION. LO REEMPLAZA BALDOMERO GARCIA."
"GARCIA,  BALDOMERO",3382,"1854-10-17","1863-04-30","1855-08-20","1857-04-30","ENTRE RÍOS","SIN ESPECIFICAR","NUÑEZ,  EUGENIO","SUPLENTE. COMPLETA EL PERIODO DE JOSE GALAN. RENUNCIA EN 1857. LO REEMPLAZA EUGENIO NUÑEZ."
"DELGADO,  FRANCISCO",3417,"1862-07-26","1865-04-30","1862-07-26","1865-04-30","MENDOZA","SIN ESPECIFICAR","ES SENADOR SUPLENTE,","SUPLENTE."
"ROLDAN,  RAMON ANGEL",3317,"1949-09-27","1952-04-30","1949-09-27","1952-04-30","LA RIOJA","SIN ESPECIFICAR","BAZAN,  MIGUEL ANGEL","REEMPLAZA A CESAR VALLEJO POR EXPIRACION DE MANDATO."
"PALMA,  JUAN",3420,"1862-05-24","1865-04-30","1863-05-12","1863-07-16","MENDOZA","SIN ESPECIFICAR","BLANCO,  EUSEBIO","RENUNCIA EN 1863 PARA SER JUEZ FEDERAL DE MENDOZA. LO REEMPLAZA EUSEBIO BLANCO. (1864/1865)."
"GONZALEZ FUNES,  TOMAS",3434,"1963-08-12","1966-04-30","1963-08-12","1966-04-30","MENDOZA","U. C. R. DEL PUEBLO","AGUINAGA,  CARLOS ERNESTO",NA
"LOSADA,  MARIO",3439,"1961-06-07","1970-04-30","1961-06-07","1962-09-06","MISIONES","UNIÓN CÍVICA RADICAL","DISOLUCION DEL P. LEGISLATIVO,","REEMPLAZA A GUILLERMO MIRANDA POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962."
"LOSADA,  MARIO",3439,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","MISIONES","UNIÓN CÍVICA RADICAL","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"RODRIGUEZ,  EUGENIO LEON",3440,"1963-08-12","1969-04-30","1963-08-12","1966-06-28","MISIONES","U. C. R. DEL PUEBLO","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966."
"PEREIRA DE KEILER, RAMONA IDASA",3441,"1955-04-26","1958-04-30","1955-04-26","1955-09-21","MISIONES","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 21 DE SEPTIEMBRE DE 1955. LA BANCA SE MANTIENE VACANTE DESDE 1958 HASTA 1960."
"MARTOS,  FRANCISCO LUIS",3442,"1960-06-30","1961-04-30","1960-06-30","1961-04-30","MISIONES","SIN ESPECIFICAR","OLMEDO,  ROLANDO","CUMPLE PERIODO VACANTE. LO REEMPLAZA OLMEDO ROLANDO."
"BORDON, JOSE OCTAVIO",91,"1992-12-16","2001-12-09","1992-12-16","1996-02-21","MENDOZA","JUSTICIALISTA","BAUZA, EDUARDO","REEMPLAZA A MALHARRO DE TORRES POR EXPIRACION DE MANDATO. RENUNCIA EN 1996. LO REEMPLAZA EDUARDO BAUZA."
"BAUZA, EDUARDO",236,"1992-12-16","2001-12-09","1996-06-05","2001-12-09","MENDOZA","JUSTICIALISTA","PARDAL, JORGE ALBERTO","COMPLETA EL PERIODO DE JOSE OCTAVIO BORDON."
"OLMEDO,  ROLANDO",3443,"1961-06-07","1970-04-30","1961-06-07","1962-09-06","MISIONES","U. C. R. INTRANSIGENTE","DISOLUCION DEL P. LEGISLATIVO,","REEMPLAZA A FRANCISCO MARTOS POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962."
"MAYA,  HECTOR DOMINGO",3399,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","ENTRE RÍOS","FREJULI","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"ZAPATA,  MARTIN",3400,"1854-10-17","1860-04-30","1856-05-15","1860-04-30","MENDOZA","SIN ESPECIFICAR","ROSAS,  JUAN DE",NA
"ROSAS,  JUAN DE",3401,"1860-05-11","1869-04-30","1860-05-11","1861-12-12","MENDOZA","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL CONGRESO DE PARANA EL 12 DE DICIEMBRE DE 1861."
"BORJA CORREA,  FRANCISCO DE",3402,"1862-05-24","1868-04-30","1863-04-30","1868-04-30","MENDOZA","SIN ESPECIFICAR","CORVALAN, FEDERICO",NA
"CORVALAN, FEDERICO",3403,"1868-05-02","1877-04-30","1868-05-02","1877-04-30","MENDOZA","SIN ESPECIFICAR","CIVIT,  FRANCISCO","REEMPLAZA A BORJA CORREA POR EXPIRACION DE MANDATO."
"CIVIT,  FRANCISCO",3404,"1877-06-07","1886-04-30","1877-06-07","1886-04-30","MENDOZA","SIN ESPECIFICAR","BENEGAS,  TIBURCIO",NA
"BENEGAS,  TIBURCIO",3405,"1886-05-01","1895-04-30","1886-05-01","1887-02-15","MENDOZA","SIN ESPECIFICAR","ORTEGA,  RUFINO","REEMPLAZA A FRANCISCO CIVIT POR EXPIRACION DE MANDATO. RENUNCIA EN 1887. ES NOMBRADO GOBERNADOR DE LA PROVINCIA DE MENDOZA. LO REEMPLAZA RUFINO ORTEGA."
"BENEGAS,  TIBURCIO",3405,"1895-05-06","1904-04-30","1895-05-06","1904-04-30","MENDOZA","SIN ESPECIFICAR","VILLANUEVA,  ELIAS","REEMPLAZA A RUFINO ORTEGA POR EXPIRACION DE MANDATO."
"VILLANUEVA,  ELIAS",3407,"1904-05-02","1913-04-30","1904-05-02","1913-04-30","MENDOZA","SIN ESPECIFICAR","VILLANUEVA,  BENITO","REEMPLAZA A TIBURCIO BENEGAS  POR EXPIRACION DE MANDATO."
"VILLANUEVA,  BENITO",3408,"1913-04-29","1922-04-30","1913-04-29","1922-04-30","MENDOZA","SIN ESPECIFICAR","VACANTE HASTA DISOLUC.P.L.,","REEMPLAZA A ELIAS VILLANUEVA POR EXPIRACION DEMANDATO. LA BANCA  ( 1922-1931 ) QUEDA VACANTE  HASTA LA  DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1930."
"ARENAS,  MARIO",3409,"1932-01-20","1941-01-19","1932-01-20","1941-01-19","MENDOZA","DEMOCRATA NACIONAL","GUEVARA CIVIT,   ARMANDO J.",NA
"GUEVARA CIVIT,   ARMANDO J.",3410,"1941-04-22","1950-04-30","1941-04-22","1943-06-05","MENDOZA","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 5 DE JUNIO DE 1943."
"BRISOLI,  BLAS",3412,"1952-06-11","1958-04-30","1952-06-11","1955-09-21","MENDOZA","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","REEMPLAZA A LORENZO SOLER POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 21 DE SEPTIEMBRE DE 1955."
"VILLALBA,  LUCAS",3413,"1958-03-31","1967-04-30","1958-03-31","1962-09-06","MENDOZA","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962."
"ORTEGA,  RUFINO",3406,"1886-05-01","1895-04-30","1887-05-12","1895-04-30","MENDOZA","SIN ESPECIFICAR","BENEGAS,  TIBURCIO","COMPLETA EL PERIODO DE TIBURCIO BENEGAS. (1886/1895)."
"ABDALA,  FELIPE",3414,"1963-08-12","1969-04-30","1963-08-12","1966-06-28","MENDOZA","U. C. R. DEL PUEBLO","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966."
"CAMPORA,  PEDRO LINDOLFO",3415,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","MENDOZA","FREJULI","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"FRUGOLI,  AMADEO RICARDO",3416,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","MENDOZA","AL. POP. RENOVADORA-MENDOZA","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"ORTIZ,  MEDARDO",3418,"1860-05-11","1869-04-30","1860-05-11","1861-12-12","MENDOZA","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","COMPLETA EL PERIODO DE FRANCISCO DELGADO. DISOLUCION DEL CONGRESO DE PARANA EL 12 DE DICIEMBRE DE 1861."
"ESPEJO,  GERONIMO",3419,"1854-10-17","1857-04-30","1854-10-17","1857-04-30","MENDOZA","SIN ESPECIFICAR","ES SENADOR SUPLENTE,","SUPLENTE."
"BLANCO,  EUSEBIO",3421,"1862-05-24","1865-04-30","1864-05-21","1865-04-30","MENDOZA","SIN ESPECIFICAR","BLANCO,  EUSEBIO","COMPLETA EL PERIODO DE JUAN PALMA ( 1862-1865 )"
"BLANCO,  EUSEBIO",3421,"1865-05-01","1874-04-30","1866-04-28","1874-04-30","MENDOZA","SIN ESPECIFICAR","VILLANUEVA,  ARISTIDES","REELECTO."
"VILLANUEVA,  ARISTIDES",3422,"1874-06-16","1883-04-30","1874-06-16","1883-04-30","MENDOZA","SIN ESPECIFICAR","ZAPATA,  JOSE V.","REEMPLAZA A EUSEBIO BLANCO POR EXPIRACION DE MANDATO."
"ZAPATA,  JOSE V.",3423,"1883-04-30","1892-04-30","1883-04-30","1891-05-01","MENDOZA","SIN ESPECIFICAR","CIVIT,  EMILIO","REEMPLAZA A ARISTIDES VILLANUEVA POR EXPIRACION DE MANDATO. RENUNCIA EN 1891, PASA A SER MINISTRO DE INTERIOR DE LA NACION. LO REEMPLAZA EMILIO CIVIT. (1891/1892)."
"CIVIT,  EMILIO",3424,"1883-04-30","1892-04-30","1891-06-23","1892-04-30","MENDOZA","CONSERVADOR","GUIÑAZU,  OSEAS","COMPLETA EL PERIODO DE JOSE ZAPATA. (1883/1892)."
"CIVIT,  EMILIO",3424,"1910-05-17","1919-04-30","1910-05-17","1919-04-30","MENDOZA","CONSERVADOR","CESPEDES,  JORGE","REEMPLAZA A JACINTO ALVAREZ POR EXPIRACION DE MANDATO."
"GUIÑAZU,  OSEAS",3425,"1892-08-11","1901-04-30","1892-08-11","1901-04-30","MENDOZA","SIN ESPECIFICAR","ALVAREZ,  JACINTO","REEMPLAZA A EMILIO CIVIT POR EXPIRACION DE MANDATO."
"ALVAREZ,  JACINTO",3426,"1901-05-07","1910-04-30","1901-05-07","1910-04-30","MENDOZA","SIN ESPECIFICAR","CIVIT,  EMILIO","REEMPLAZA A OSEAS GUIÑAZU POR EXPIRACION DE MANDATO."
"CESPEDES,  JORGE",3427,"1919-05-01","1928-04-30","1922-06-26","1928-04-30","MENDOZA","SIN ESPECIFICAR","VACANTE HASTA DISOLUC.P.L.,","REEMPLAZA A EMILIO CIVIT POR EXPIRACION DE MANDATO. LA BANCA QUEDA VACANTE HASTA LA DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1930."
"VERA,  CRUZ",3428,"1932-01-20","1938-04-30","1932-01-20","1935-02-18","MENDOZA","SIN ESPECIFICAR","SUAREZ LAGO,  GILBERTO","RENUNCIA EN 1935, PASA A SER VICEGOBERNADOR DE LA PROVINCIA DE MENDOZA. LO REEMPLAZA SUAREZ LAGO. (1935/1938)."
"SUAREZ LAGO,  GILBERTO",3429,"1932-01-20","1938-04-30","1935-05-02","1938-04-30","MENDOZA","CONSERVADOR","SUAREZ LAGO,  GILBERTO","COMPLETA EL PERIODO DE VERA CRUZ QUE RENUNCIA."
"SUAREZ LAGO,  GILBERTO",3429,"1938-05-02","1947-04-30","1938-05-02","1943-06-05","MENDOZA","CONSERVADOR","DISOLUCION DEL P. LEGISLATIVO,","REELECTO. DISOLUCION DEL PODER LEGISLATIVO EL 5 DE JUNIO DE 1943."
"MATHUS HOYOS,  ALEJANDRO",3430,"1946-05-22","1955-04-30","1946-05-22","1952-04-25","MENDOZA","SIN ESPECIFICAR","DE PAOLIS,  JOSE GUILLERMO","POR LA REFORMA CONSTITUCIONAL DE 1949 CADUCAN MANDATOS EN 1952."
"DE PAOLIS,  JOSE GUILLERMO",3431,"1952-04-25","1955-04-30","1952-04-25","1955-04-30","MENDOZA","SIN ESPECIFICAR","DE PAOLIS,  JOSE GUILLERMO","REEMPLAZA A MATHUS HOYOS POR EXPIRACION DE MANDATO."
"DE PAOLIS,  JOSE GUILLERMO",3431,"1955-04-26","1961-04-30","1955-04-30","1955-09-21","MENDOZA","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","REELECTO. DISOLUCION DEL PODER LEGISLATIVO EL 21 DE SEPTIEMBRE DE 1955."
"CAÑEQUE,  FRANCISCO",3432,"1958-03-31","1961-04-30","1958-03-31","1961-04-30","MENDOZA","SIN ESPECIFICAR","VICCHI,  ADOLFO A.",NA
"VICCHI,  ADOLFO A.",3433,"1961-07-06","1970-04-30","1961-07-06","1962-09-06","MENDOZA","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","REEMPLAZA A FRANCISCO CAÑETE POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962."
"AGUINAGA,  CARLOS ERNESTO",3435,"1966-05-18","1975-04-30","1966-05-18","1966-06-28","MENDOZA","DEMOCRATA - MENDOZA","DISOLUCION DEL P. LEGISLATIVO,","REEMPLAZA A GONZALEZ FUNES POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966."
"EVANS,  CARLOS HORACIO",3436,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","MENDOZA","JUSTICIALISTA","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"GENOUD, JOSE",14,"1986-12-17","1995-12-09","1986-12-17","1995-12-09","MENDOZA","UNIÓN CÍVICA RADICAL","DE LA ROSA, CARLOS LEONARDO","REEMPLAZA A MATHUS ESCORIHUELA POR EXPIRACION DE MANDATO."
"GENOUD, JOSE",14,"1995-11-29","2001-12-09","1995-11-29","2001-12-09","MENDOZA","UNIÓN CÍVICA RADICAL","BAGLINI, RAÚL EDUARDO","POR LA REFORMA CONSTITUCIONAL DE 1994 ES ELEGIDO TERCER SENADOR."
"DE LA ROSA, CARLOS LEONARDO",210,"1995-11-29","2001-12-09","1995-11-29","2001-12-09","MENDOZA","JUSTICIALISTA","PERCEVAL, MARÍA CRISTINA","REEMPLAZA A JOSE GENOUD POR EXPIRACION DE MANDATO."
"RIOS,  OCTAVIO AGUSTIN",3437,"1955-04-26","1961-04-30","1955-04-26","1955-09-21","MISIONES","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 21 DE SEPTIEMBRE DE 1955. BANCA VACANTE DE 1958 AL 1960."
"MIRANDA,  GUILLERMO ILDEFONSO",3438,"1960-06-30","1961-04-30","1960-06-30","1961-04-30","MISIONES","SIN ESPECIFICAR","LOSADA,  MARIO","CUMPLE EL PERIODO VACANTE. POR SORTEO LE CORRESPONDIO MANDATO POR TRES AÑOS."
"FITTIPALDI,  JUAN PABLO",3446,"1958-03-31","1961-04-30","1958-03-31","1961-04-30","NEUQUÉN","SIN ESPECIFICAR","MAJLUF,  AMADO","LO REEMPLAZA  AMADO MAJLUF."
"MAJLUF,  AMADO",3447,"1961-06-28","1970-04-30","1961-06-28","1962-09-06","NEUQUÉN","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962."
"CAPRARO,  FRANCISCO",3448,"1963-08-12","1966-04-30","1963-08-12","1966-04-30","NEUQUÉN","MOVIMIENTO POPULAR NEUQUINO","MENDAÑA,  PEDRO","LO REEMPLAZA PEDRO MENDAÑA."
